Randomizer Version: 4.6.0
Random Seed: 128137046630631
Settings String: 321YRgEegFfAloCVwKSxgSehhsIagfGasY9GAABmwAAAAAARAKA0Mna/JQJCTIGBgTkWwUQE1Bva2Vtb24gQmxhY2sgMiAoRym+Bj4148M4ig==

--Pokemon Base Stats & Types--
NUM|NAME         |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ABILITY3    |ITEM
  1|Bisasam      |GRASS/POISON     |  45|  49|  49|  65|  65|  45|Erzwinger   |Übereifer   |Wassertempo |Abysszahn (common)
  2|Bisaknosp    |GRASS/POISON     |  60|  62|  63|  80|  80|  60|Erzwinger   |Übereifer   |Wassertempo |
  3|Bisaflor     |GRASS/POISON     |  80|  82|  83| 100| 100|  80|Erzwinger   |Übereifer   |Wassertempo |Altbernstein (common), Top-Elixier (dark grass only)
  4|Glumanda     |FIRE             |  39|  52|  43|  60|  50|  65|Scherenmacht|Reiche Ernte|Aquahülle   |Schwarzgurt (dark grass only)
  5|Glutexo      |FIRE             |  58|  64|  58|  80|  65|  80|Scherenmacht|Reiche Ernte|Aquahülle   |Fragiabeere (dark grass only)
  6|Glurak       |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|Scherenmacht|Reiche Ernte|Aquahülle   |
  7|Schiggy      |WATER            |  44|  48|  65|  50|  64|  43|Hydration   |Hochmut     |Facettenauge|Kometstück (common), Fatumknoten (rare)
  8|Schillok     |WATER            |  59|  63|  80|  65|  80|  58|Hydration   |Hochmut     |Facettenauge|Tsitrubeere (rare)
  9|Turtok       |WATER            |  79|  83| 100|  85| 105|  78|Hydration   |Hochmut     |Facettenauge|Jonagobeere (common), Ewiges Eis (rare)
 10|Raupy        |BUG              |  45|  30|  35|  20|  20|  45|Wolke Sieben|Vegetarier  |Pulverrauch |Grünstück (dark grass only)
 11|Safcon       |BUG              |  50|  20|  55|  25|  25|  30|Wolke Sieben|Vegetarier  |Pulverrauch |Eisheiler (common), Steinrauch (dark grass only)
 12|Smettbo      |BUG/FLYING       |  60|  45|  50|  80|  80|  70|Wolke Sieben|Vegetarier  |Pulverrauch |Heilball (common), Käfertafel (rare), Gegengift (dark grass only)
 13|Hornliu      |BUG/POISON       |  40|  35|  30|  20|  20|  50|Brustbieter |Schwermetall|Blitzfänger |Chiaribeere (rare)
 14|Kokuna       |BUG/POISON       |  45|  25|  50|  25|  25|  35|Brustbieter |Schwermetall|Blitzfänger |Giftschleim (common), Tahaybeere (rare), Wurzelfossil (dark grass only)
 15|Bibor        |BUG/POISON       |  65|  80|  40|  45|  80|  75|Brustbieter |Schwermetall|Blitzfänger |
 16|Taubsi       |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|Angsthase   |Fährte      |Solarkraft  |
 17|Tauboga      |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|Angsthase   |Fährte      |Solarkraft  |Mentalkraut (common), Evolith (dark grass only)
 18|Tauboss      |NORMAL/FLYING    |  83|  80|  75|  70|  70|  91|Angsthase   |Fährte      |Solarkraft  |Wurzelfossil (dark grass only)
 19|Rattfratz    |NORMAL           |  30|  56|  35|  25|  35|  72|Sandschleier|Magmapanzer |H2O-Absorber|Wilbirbeere (common), Zoomlinse (rare)
 20|Rattikarl    |NORMAL           |  55|  81|  60|  50|  70|  97|Sandschleier|Magmapanzer |H2O-Absorber|
 21|Habitak      |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|Aquahülle   |Hexaplaga   |Solarkraft  |Seegesang (rare), Krummlöffel (dark grass only)
 22|Ibitak       |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|Aquahülle   |Hexaplaga   |Solarkraft  |Lahmrauch (common), Rosenrauch (rare), Machoband (dark grass only)
 23|Rettan       |POISON           |  35|  60|  44|  40|  54|  55|Superschütze|Schildlos   |Anpassung   |Lahmrauch (dark grass only)
 24|Arbok        |POISON           |  60|  85|  69|  65|  79|  80|Superschütze|Schildlos   |Anpassung   |Top-Elixier (dark grass only)
 25|Pikachu      |ELECTRIC         |  35|  55|  30|  50|  40|  90|Wetterfest  |Giftgriff   |Sturzbach   |Hirntafel (rare)
 26|Raichu       |ELECTRIC         |  60|  90|  55|  90|  80| 100|Wetterfest  |Giftgriff   |Sturzbach   |Pokéball (common)
 27|Sandan       |GROUND           |  50|  75|  85|  20|  30|  40|Magieschild |Trockenheit |Tempomacher |Top-Trank (common)
 28|Sandamer     |GROUND           |  75| 100| 110|  45|  55|  65|Magieschild |Trockenheit |Tempomacher |
 29|Nidoran♀     |POISON           |  55|  47|  52|  40|  40|  41|Kampfpanzer |Chlorophyll |Vegetarier  |Leichtstein (common), AP-Plus (rare)
 30|Nidorina     |POISON           |  70|  62|  67|  55|  55|  56|Kampfpanzer |Chlorophyll |Vegetarier  |Alte Statue (common), AP-Plus (rare), Alter Reif (dark grass only)
 31|Nidoqueen    |POISON/GROUND    |  90|  82|  87|  75|  85|  76|Kampfpanzer |Chlorophyll |Vegetarier  |Wunfrubeere (dark grass only)
 32|Nidoran♂     |POISON           |  46|  57|  40|  40|  40|  50|Bedroher    |Sturzbach   |Angsthase   |
 33|Nidorino     |POISON           |  61|  72|  57|  55|  55|  65|Bedroher    |Sturzbach   |Angsthase   |Küstensalz (rare), Giftstich (dark grass only)
 34|Nidoking     |POISON/GROUND    |  81|  92|  77|  85|  75|  85|Bedroher    |Sturzbach   |Angsthase   |
 35|Piepi        |NORMAL           |  70|  45|  48|  60|  65|  35|Angsthase   |Großbrand   |Rivalität   |Nestball (common), Heiß-Orb (dark grass only)
 36|Pixi         |NORMAL           |  95|  70|  73|  85|  90|  60|Angsthase   |Großbrand   |Rivalität   |Blitzmodul (common)
 37|Vulpix       |FIRE             |  38|  41|  40|  50|  65|  65|Superschütze|Strolch     |Wertelink   |Wutkeks (100%)
 38|Vulnona      |FIRE             |  73|  76|  75|  81| 100| 100|Superschütze|Strolch     |Wertelink   |Kuhmuh-Milch (100%)
 39|Pummeluff    |NORMAL           | 115|  45|  20|  45|  25|  20|Erzwinger   |Flexibilität|Belebekraft |X-Tempo (common)
 40|Knuddeluff   |NORMAL           | 140|  70|  45|  75|  50|  45|Erzwinger   |Flexibilität|Belebekraft |Grindobeere (common), Megablock (rare)
 41|Zubat        |POISON/FLYING    |  40|  45|  35|  30|  40|  55|Adrenalin   |Giftwahn    |Hagelalarm  |Leuchtstein (rare)
 42|Golbat       |POISON/FLYING    |  75|  80|  70|  65|  75|  90|Adrenalin   |Giftwahn    |Hagelalarm  |Blendpuder (100%)
 43|Myrapla      |GRASS/POISON     |  45|  50|  55|  75|  65|  30|Flexibilität|Feuchtigkeit|Adlerauge   |Küstensalz (common), Wasserjuwel (dark grass only)
 44|Duflor       |GRASS/POISON     |  60|  65|  70|  85|  75|  40|Flexibilität|Feuchtigkeit|Adlerauge   |
 45|Giflor       |GRASS/POISON     |  75|  80|  85| 100|  90|  50|Feuchtigkeit|Tempomacher |Regengenuss |
 46|Paras        |BUG/GRASS        |  35|  70|  55|  45|  55|  25|Statik      |Insomnia    |Angsthase   |
 47|Parasek      |BUG/GRASS        |  60|  95|  80|  60|  80|  30|Statik      |Insomnia    |Angsthase   |Schutz (rare), Grarzbeere (dark grass only)
 48|Bluzuk       |BUG/POISON       |  60|  55|  50|  40|  55|  45|Tastfluch   |Download    |Aufheber    |Alte Vase (common)
 49|Omot         |BUG/POISON       |  70|  65|  60|  90|  75|  90|Tastfluch   |Download    |Aufheber    |Abysszahn (dark grass only)
 50|Digda        |GROUND           |  10|  55|  25|  35|  45|  95|Robustheit  |Magmapanzer |Dürre       |Sternenstück (rare), Pokéwedel (dark grass only)
 51|Digdri       |GROUND           |  35|  80|  50|  50|  70| 120|Robustheit  |Magmapanzer |Dürre       |Limonade (rare)
 52|Mauzi        |NORMAL           |  40|  45|  35|  40|  40|  90|Notdünger   |Kurzschluss |Finalschlag |Riesennugget (common), Tauchball (dark grass only)
 53|Snobilikat   |NORMAL           |  65|  70|  60|  65|  65| 115|Notdünger   |Kurzschluss |Finalschlag |Eneco-Rute (dark grass only)
 54|Enton        |WATER            |  50|  52|  48|  65|  50|  55|Eishaut     |Giftwahn    |Speckschicht|Poképuppe (rare)
 55|Entoron      |WATER            |  80|  82|  78|  95|  80|  85|Eishaut     |Giftwahn    |Speckschicht|Küstensalz (dark grass only)
 56|Menki        |FIGHTING         |  40|  80|  35|  35|  45|  70|Regengenuss |Trugbild    |Facettenauge|Holzkohle (common), Beerensaft (rare), Glattbrocken (dark grass only)
 57|Rasaff       |FIGHTING         |  65| 105|  60|  60|  70|  95|Regengenuss |Trugbild    |Facettenauge|Grarzbeere (dark grass only)
 58|Fukano       |FIRE             |  55|  70|  45|  70|  50|  60|Siegeswille |Entlastung  |Steinhaupt  |AP-Top (dark grass only)
 59|Arkani       |FIRE             |  90| 110|  80| 100|  80|  95|Siegeswille |Entlastung  |Steinhaupt  |Eipfelbeere (rare)
 60|Quapsel      |WATER            |  40|  50|  40|  40|  40|  90|Überbrückung|Starthilfe  |Feuerfänger |
 61|Quaputzi     |WATER            |  65|  65|  65|  50|  50|  90|Überbrückung|Starthilfe  |Feuerfänger |Machoband (common), Schw. Flöte (rare), Alte Statue (dark grass only)
 62|Quappo       |WATER/FIGHTING   |  90|  85|  95|  70|  90|  70|Alptraum    |Starthilfe  |Finalschlag |Perle (dark grass only)
 63|Abra         |PSYCHIC          |  25|  20|  15| 105|  55|  90|Speckschicht|Rohe Gewalt |Reiche Ernte|
 64|Kadabra      |PSYCHIC          |  40|  35|  30| 120|  70| 105|Speckschicht|Rohe Gewalt |Reiche Ernte|Gelbe Flöte (common), Wiesentafel (dark grass only)
 65|Simsala      |PSYCHIC          |  55|  50|  45| 135|  85| 120|Speckschicht|Rohe Gewalt |Reiche Ernte|X-Treffer (rare)
 66|Machollo     |FIGHTING         |  70|  80|  50|  35|  35|  35|Fährte      |Floraschild |Sandgewalt  |Roselbeere (common), Zink (dark grass only)
 67|Maschock     |FIGHTING         |  80| 100|  70|  50|  60|  45|Fährte      |Floraschild |Sandgewalt  |
 68|Machomei     |FIGHTING         |  90| 130|  80|  65|  85|  55|Fährte      |Floraschild |Sandgewalt  |Rosenrauch (common), Safariball (dark grass only)
 69|Knofensa     |GRASS/POISON     |  50|  75|  35|  70|  30|  40|Chlorophyll |Hexaplaga   |Dösigkeit   |EP-Teiler (common)
 70|Ultrigaria   |GRASS/POISON     |  65|  90|  50|  85|  45|  55|Chlorophyll |Hexaplaga   |Dösigkeit   |
 71|Sarzenia     |GRASS/POISON     |  80| 105|  65| 100|  60|  70|Chlorophyll |Hexaplaga   |Dösigkeit   |Wellenrauch (dark grass only)
 72|Tentacha     |WATER/POISON     |  40|  40|  35|  50| 100|  70|Langfinger  |Immunität   |Sandscharrer|Küstenschale (dark grass only)
 73|Tentoxa      |WATER/POISON     |  80|  70|  65|  80| 120| 100|Langfinger  |Immunität   |Sandscharrer|Alter Heller (common), Eisen (rare)
 74|Kleinstein   |ROCK/GROUND      |  40|  80| 100|  30|  30|  20|Saugnapf    |Schwebe     |Magieschild |Tafelwasser (common), Abyssplatte (dark grass only)
 75|Georok       |ROCK/GROUND      |  55|  95| 115|  45|  45|  35|Saugnapf    |Schwebe     |Magieschild |
 76|Geowaz       |ROCK/GROUND      |  80| 110| 130|  55|  65|  45|Saugnapf    |Schwebe     |Magieschild |Eneco-Rute (common), Wutkeks (rare)
 77|Ponita       |FIRE             |  50|  85|  55|  65|  65|  90|Dürre       |Regulierung |Chlorophyll |Meisterball (common), Koakobeere (rare)
 78|Gallopa      |FIRE             |  65| 100|  70|  80|  80| 105|Dürre       |Regulierung |Chlorophyll |Laxrauch (dark grass only)
 79|Flegmon      |WATER/PSYCHIC    |  90|  65|  65|  40|  40|  15|Magiespiegel|Multischuppe|H2O-Absorber|Blattstein (dark grass only)
 80|Lahmus       |WATER/PSYCHIC    |  95|  75| 110| 100|  80|  30|Flammkörper |Techniker   |Wolke Sieben|
 81|Magnetilo    |ELECTRIC/STEEL   |  25|  35|  70|  95|  55|  45|Analyse     |Aufheber    |Giftgriff   |Alte Vase (dark grass only)
 82|Magneton     |ELECTRIC/STEEL   |  50|  60|  95| 120|  70|  70|Analyse     |Aufheber    |Giftgriff   |Energiestaub (dark grass only)
 83|Porenta      |NORMAL/FLYING    |  52|  65|  55|  58|  62|  60|Giftwahn    |Blitzfänger |Charmebolzen|Mondstein (common), Tafelwasser (rare)
 84|Dodu         |NORMAL/FLYING    |  35|  85|  45|  35|  35|  75|Blitzfänger |Magmapanzer |Schildlos   |Wassertafel (common)
 85|Dodri        |NORMAL/FLYING    |  60| 110|  70|  60|  60| 100|Blitzfänger |Magmapanzer |Schildlos   |Wassertafel (dark grass only)
 86|Jurob        |WATER            |  65|  45|  55|  45|  70|  45|Kloakensoße |Insomnia    |Entlastung  |Kerzalbeere (dark grass only)
 87|Jugong       |WATER/ICE        |  90|  70|  80|  70|  95|  70|Kloakensoße |Insomnia    |Entlastung  |Top-Elixier (dark grass only)
 88|Sleima       |POISON           |  80|  80|  50|  40|  50|  25|Bedroher    |Wolke Sieben|H2O-Absorber|
 89|Sleimok      |POISON           | 105| 105|  75|  65| 100|  50|Bedroher    |Wolke Sieben|H2O-Absorber|
 90|Muschas      |WATER            |  30|  65| 100|  45|  25|  40|Puderabwehr |Alptraum    |Großbrand   |Düsterumhang (dark grass only)
 91|Austos       |WATER/ICE        |  50|  95| 180|  85|  45|  70|Puderabwehr |Alptraum    |Großbrand   |Großlinse (dark grass only)
 92|Nebulak      |GHOST/POISON     |  30|  35|  30| 100|  35|  80|Dösigkeit   |Unkenntnis  |Triumphstern|Beleber (rare)
 93|Alpollo      |GHOST/POISON     |  45|  50|  45| 115|  55|  95|Dösigkeit   |Unkenntnis  |Triumphstern|Tanigabeere (common), Sonnenstein (dark grass only)
 94|Gengar       |GHOST/POISON     |  60|  65|  60| 130|  75| 110|Dösigkeit   |Unkenntnis  |Triumphstern|Beleber (rare)
 95|Onix         |ROCK/GROUND      |  35|  45| 160|  30|  45|  70|Rohe Gewalt |Robustheit  |Puderabwehr |Foepasbeere (dark grass only)
 96|Traumato     |PSYCHIC          |  60|  48|  45|  43|  90|  42|Mentalkraft |Tempomacher |H2O-Absorber|Minipilz (dark grass only)
 97|Hypno        |PSYCHIC          |  85|  73|  70|  73| 115|  67|Mentalkraft |Tempomacher |H2O-Absorber|Carbon (common), Alte Vase (dark grass only)
 98|Krabby       |WATER            |  30| 105|  90|  25|  25|  50|Flexibilität|Redlichkeit |Regulierung |
 99|Kingler      |WATER            |  55| 130| 115|  50|  50|  75|Flexibilität|Redlichkeit |Regulierung |Trank (common), Wurzelfossil (dark grass only)
100|Voltobal     |ELECTRIC         |  40|  30|  50|  55|  55| 100|Hochmut     |Bedroher    |Feuchtigkeit|
101|Lektrobal    |ELECTRIC         |  60|  50|  70|  80|  80| 140|Hochmut     |Bedroher    |Feuchtigkeit|Großwurzel (common), Salkabeere (rare)
102|Owei         |GRASS/PSYCHIC    |  60|  40|  80|  60|  45|  40|Voltabsorber|Kurzschluss |Schneemantel|
