Randomizer Version: 4.6.0
Random Seed: 141708394892133
Settings String: 321aQgEejiDAYYBiQGy0AKeAh8iagfQatA+CQABmgAAAAAAPAyA0NnaeaaJCTIGBQDkEQUQFFBva2Vtb24gUGxhdGludW0gKEcp7r7ouOPDOIo=

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
  1|Bisasam      |GRASS/POISON     |  45|  49|  49|  65|  65|  45|Alptraum    | -          |Wunfrubeere (common), Rauchball (rare)
  2|Bisaknosp    |GRASS/POISON     |  60|  62|  63|  80|  80|  60|Alptraum    | -          |
  3|Bisaflor     |GRASS/POISON     |  80|  82|  83| 100| 100|  80|Alptraum    | -          |
  4|Glumanda     |FIRE             |  39|  52|  43|  60|  50|  65|Download    |Notdünger   |
  5|Glutexo      |FIRE             |  58|  64|  58|  80|  65|  80|Download    |Notdünger   |
  6|Glurak       |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|Download    |Notdünger   |TM92 (common)
  7|Schiggy      |WATER            |  44|  48|  65|  50|  64|  43|Hydration   | -          |
  8|Schillok     |WATER            |  59|  63|  80|  65|  80|  58|Hydration   | -          |Steinrauch (common), Expertengurt (rare)
  9|Turtok       |WATER            |  79|  83| 100|  85| 105|  78|Hydration   | -          |
 10|Raupy        |BUG              |  45|  30|  35|  20|  20|  45|Saugnapf    |Wassertempo |TM68 (common), Drachenhaut (rare)
 11|Safcon       |BUG              |  50|  20|  55|  25|  25|  30|Saugnapf    |Wassertempo |
 12|Smettbo      |BUG/FLYING       |  60|  45|  50|  80|  80|  70|Saugnapf    |Wassertempo |KP-Plus (100%)
 13|Hornliu      |BUG/POISON       |  40|  35|  30|  20|  20|  50|Neutraltorso|Floraschild |TM38 (common)
 14|Kokuna       |BUG/POISON       |  45|  25|  50|  25|  25|  35|Neutraltorso|Floraschild |TM75 (common), TM31 (rare)
 15|Bibor        |BUG/POISON       |  65|  80|  40|  45|  80|  75|Neutraltorso|Floraschild |
 16|Taubsi       |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|Sporenwirt  | -          |X-Treffer (rare)
 17|Tauboga      |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|Sporenwirt  | -          |
 18|Tauboss      |NORMAL/FLYING    |  83|  80|  75|  70|  70|  91|Sporenwirt  | -          |
 19|Rattfratz    |NORMAL           |  30|  56|  35|  25|  35|  72|Flexibilität| -          |Expertengurt (rare)
