Randomizer Version: 4.6.0
Random Seed: 234173005332115
Settings String: 321YRgEegEdAeQAwgCSvBCegh8Caga8arw9CSABmwAAAAAALAyAxsnQfBQJCTIGBQTGGQURFlBva2Vtb24gU291bFNpbHZlciAoRymFocTU48M4ig==

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
  1|Bisasam      |GRASS/POISON     |  45|  49|  49|  65|  65|  45|Statik      | -          |
  2|Bisaknosp    |GRASS/POISON     |  60|  62|  63|  80|  80|  60|Statik      | -          |TM09 (common)
  3|Bisaflor     |GRASS/POISON     |  80|  82|  83| 100| 100|  80|Statik      | -          |
  4|Glumanda     |FIRE             |  39|  52|  43|  60|  50|  65|Tempomacher |Erzwinger   |Blitztafel (rare)
  5|Glutexo      |FIRE             |  58|  64|  58|  80|  65|  80|Tempomacher |Erzwinger   |Magmaisierer (100%)
  6|Glurak       |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|Tempomacher |Erzwinger   |TM26 (common)
  7|Schiggy      |WATER            |  44|  48|  65|  50|  64|  43|Notschutz   | -          |King-Stein (common)
  8|Schillok     |WATER            |  59|  63|  80|  65|  80|  58|Notschutz   | -          |Schukebeere (common)
  9|Turtok       |WATER            |  79|  83| 100|  85| 105|  78|Notschutz   | -          |
 10|Raupy        |BUG              |  45|  30|  35|  20|  20|  45|Aufheber    |Wertehalter |Grünstück (rare)
 11|Safcon       |BUG              |  50|  20|  55|  25|  25|  30|Aufheber    |Wertehalter |TM21 (common)
 12|Smettbo      |BUG/FLYING       |  60|  45|  50|  80|  80|  70|Aufheber    |Wertehalter |
 13|Hornliu      |BUG/POISON       |  40|  35|  30|  20|  20|  50|Übereifer   | -          |
 14|Kokuna       |BUG/POISON       |  45|  25|  50|  25|  25|  35|Übereifer   | -          |Persimbeere (common)
 15|Bibor        |BUG/POISON       |  65|  80|  40|  45|  80|  75|Übereifer   | -          |
 16|Taubsi       |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|Adrenalin   | -          |
 17|Tauboga      |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|Adrenalin   | -          |TM61 (common), Scharfzahn (rare)
 18|Tauboss      |NORMAL/FLYING    |  83|  80|  75|  70|  70|  91|Adrenalin   | -          |
 19|Rattfratz    |NORMAL           |  30|  56|  35|  25|  35|  72|Saugnapf    |Rauhaut     |Jubelball (common)
 20|Rattikarl    |NORMAL           |  55|  81|  60|  50|  70|  97|Saugnapf    |Rauhaut     |
