Randomizer Version: 4.6.0
Random Seed: 58742429271623
Settings String: 321aRgEejHAAnkCcwGyvBCeAxliMgMAFAA9CQABugAAAAAAAgCI5ATkzKcJCTIHBwTkUQUQCVBva2Vtb24gWaOSWAfjwziK

--Pokemon Base Stats & Types--
NUM|NAME            |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1      |ABILITY2      |ABILITY3      |ITEM
  1|Bulbasaur       |GRASS/POISON     |  45|  49|  49|  65|  65|  45|Overgrow      |Own Tempo     |Huge Power    |Icy Rock (common), Power Weight (rare)
  2|Ivysaur         |GRASS/POISON     |  60|  62|  63|  80|  80|  60|Overgrow      |Own Tempo     |Huge Power    |
  3|Venusaur        |GRASS/POISON     |  80|  82|  83| 100| 100|  80|Overgrow      |Own Tempo     |Huge Power    |
  4|Charmander      |FIRE             |  39|  52|  43|  60|  50|  65|Justified     |Blaze         |Simple        |Elixir (100%)
  5|Charmeleon      |FIRE             |  58|  64|  58|  80|  65|  80|Justified     |Blaze         |Simple        |Calcium (rare)
  6|Charizard       |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|Justified     |Blaze         |Simple        |Eject Button (common), Mewtwonite X (rare)
  7|Squirtle        |WATER            |  44|  48|  65|  50|  64|  43|Toxic Boost   |Torrent       |Motor Drive   |
  8|Wartortle       |WATER            |  59|  63|  80|  65|  80|  58|Toxic Boost   |Torrent       |Motor Drive   |
  9|Blastoise       |WATER            |  79|  83| 100|  85| 105|  78|Toxic Boost   |Torrent       |Motor Drive   |Calcium (rare)
 10|Caterpie        |BUG              |  45|  30|  35|  20|  20|  45|Pure Power    |Adaptability  |Hyper Cutter  |
 11|Metapod         |BUG              |  50|  20|  55|  25|  25|  30|Pure Power    |Adaptability  |Hyper Cutter  |Grip Claw (common)
 12|Butterfree      |BUG/FLYING       |  60|  45|  50|  90|  80|  70|Pure Power    |Adaptability  |Hyper Cutter  |
 13|Weedle          |BUG/POISON       |  40|  35|  30|  20|  20|  50|Trace         |Levitate      |Bulletproof   |
 14|Kakuna          |BUG/POISON       |  45|  25|  50|  25|  25|  35|Trace         |Levitate      |Bulletproof   |Nugget (100%)
 15|Beedrill        |BUG/POISON       |  65|  90|  40|  45|  80|  75|Trace         |Levitate      |Bulletproof   |Pearl (rare)
 16|Pidgey          |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|Drought       |Sheer Force   |Swarm         |Shock Drive (common)
 17|Pidgeotto       |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|Drought       |Sheer Force   |Swarm         |
 18|Pidgeot         |NORMAL/FLYING    |  83|  80|  75|  70|  70| 101|Drought       |Sheer Force   |Swarm         |
 19|Rattata         |NORMAL           |  30|  56|  35|  25|  35|  72|Drizzle       |Volt Absorb   |Mummy         |
 20|Raticate        |NORMAL           |  55|  81|  60|  50|  70|  97|Drizzle       |Volt Absorb   |Mummy         |
 21|Spearow         |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|Toxic Boost   |Mega Launcher |Aerilate      |
 22|Fearow          |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|Toxic Boost   |Mega Launcher |Aerilate      |
 23|Ekans           |POISON           |  35|  60|  44|  40|  54|  55|Normalize     |Poison Heal   |Cute Charm    |
 24|Arbok           |POISON           |  60|  85|  69|  65|  79|  80|Normalize     |Poison Heal   |Cute Charm    |Chilan Berry (rare)
 25|Pikachu         |ELECTRIC         |  35|  55|  40|  50|  50|  90|Telepathy     |Suction Cups  |Tangled Feet  |
 26|Raichu          |ELECTRIC         |  60|  90|  55|  90|  80| 110|Telepathy     |Suction Cups  |Tangled Feet  |
 27|Sandshrew       |GROUND           |  50|  75|  85|  20|  30|  40|Download      |Moxie         |Sand Veil     |
 28|Sandslash       |GROUND           |  75| 100| 110|  45|  55|  65|Download      |Moxie         |Sand Veil     |
 29|Nidoran♀        |POISON           |  55|  47|  52|  40|  40|  41|Grass Pelt    |Marvel Scale  |Thick Fat     |
 30|Nidorina        |POISON           |  70|  62|  67|  55|  55|  56|Grass Pelt    |Marvel Scale  |Thick Fat     |
 31|Nidoqueen       |POISON/GROUND    |  90|  92|  87|  75|  85|  76|Grass Pelt    |Marvel Scale  |Thick Fat     |Smooth Rock (common)
